rank,age,height_cm,weight_kg,bmi,19.1_rank,19.2_rank,19.3_rank,19.4_rank,19.5_rank
10001,36,178.0,83.0,26.2,14443,14821,23679,10964,12648
10002,28,179.0,84.0,26.2,9881,16712,25132,9634,15203
10003,37,168.0,77.0,27.3,36340,11370,14678,3260,10920
10004,26,183.0,91.0,27.2,8828,12089,18389,19076,18188
10005,26,178.0,85.0,26.8,14443,20846,10881,16303,14100
10006,26,183.0,84.0,25.1,9532,10519,28820,11758,15974
10007,37,169.0,81.0,28.4,33428,8309,16983,5879,12011
10008,31,178.0,77.0,24.3,20685,18629,14057,7324,15917
10009,33,188.0,88.0,24.9,15232,13365,16687,19524,11809
10010,32,178.0,75.0,23.7,20070,25198,7756,10708,12899
10011,29,182.0,82.0,24.8,12686,20927,15987,14543,12493
10012,23,175.0,75.0,24.5,8828,38361,14203,3668,11590
10013,43,180.0,85.0,26.2,22015,4013,24978,10673,14978
10014,29,178.0,84.0,26.5,13831,17997,8229,18995,17617
10015,36,174.0,85.0,28.1,12686,12144,25501,11590,14788
10016,31,178.0,84.0,26.5,18902,21060,7571,17855,11347
10017,26,178.0,85.0,26.8,26601,14858,6980,10831,17470
10018,25,175.0,75.0,24.5,30006,13210,4254,7056,22218
10019,34,174.0,82.0,27.1,15232,11980,19125,15779,14640
10020,41,183.0,93.0,27.8,7652,13978,12473,21073,21592
10021,37,175.0,82.0,26.8,25056,11645,19485,15176,5413
10022,35,175.0,87.0,28.4,22015,28061,5091,16357,5255
10023,24,178.0,86.0,27.1,22820,11736,14373,9195,18664
10024,27,186.0,94.0,27.2,3675,7485,46332,9966,9332
10025,30,178.0,80.0,25.2,13218,12324,32350,12618,6284
10026,36,170.0,84.0,29.1,38189,11171,14800,7532,5141
10027,26,178.0,84.0,26.5,25821,13405,11430,13283,12899
10028,30,173.0,86.0,28.7,30006,8201,12816,8983,16839
10029,36,180.0,86.0,26.5,20685,11930,16370,11736,16130
10030,27,183.0,87.0,26.0,15232,28406,6942,10831,15447
10031,31,185.0,91.0,26.6,12109,10174,26647,11210,16719
10032,34,178.0,77.0,24.3,25056,11782,22530,10494,6998
10033,28,178.0,84.0,26.5,50223,11595,4766,3796,6483
10034,35,180.0,86.0,26.5,13831,15809,16557,18116,12551
10035,38,180.0,93.0,28.7,12686,6787,30075,18590,8734
10036,26,170.0,78.0,27.0,35431,14077,5524,10040,11809
10037,26,177.0,71.0,22.7,29001,12778,15354,7846,11908
10038,27,180.0,78.0,24.1,17433,9975,19821,11805,17856
10039,30,175.0,85.0,27.8,30006,13065,18099,6402,9332
10040,17,178.0,84.0,26.5,37269,16381,19195,2799,1273
10040,29,177.0,81.0,25.9,4678,20642,25213,17394,8990
10042,27,173.0,77.0,25.7,44376,7534,10675,3723,10611
10043,25,177.0,90.0,28.7,14443,16568,25163,6258,14488
10044,24,178.0,83.0,26.2,17871,13132,20887,10868,14166
10045,39,178.0,90.0,28.4,9881,2733,56722,5061,2528
10045,31,190.0,93.0,25.8,2684,10081,26542,20700,16918
10047,33,175.0,77.0,25.1,51743,14612,1334,1754,7483
10048,33,185.0,86.0,25.1,19508,8708,20874,9497,18341
10049,21,175.0,85.0,27.8,14443,12141,27948,14108,8293
10050,39,178.0,80.0,25.2,26601,14970,8499,15064,11809
10051,32,178.0,91.0,28.7,11188,12788,14504,20490,18013
10052,33,173.0,77.0,25.7,43323,12696,9892,7276,3797
10053,30,185.0,99.0,28.9,13831,24723,5546,15969,16918
10054,30,185.0,88.0,25.7,3482,14003,8641,18349,32543
10055,36,185.0,84.0,24.5,9188,17058,7669,22159,20948
10056,29,178.0,84.0,26.5,27384,9328,11221,14925,14166
10057,26,183.0,84.0,25.1,6260,27596,26529,6258,10382
10057,28,178.0,86.0,27.1,17433,14821,15266,12860,16645
10059,44,180.0,87.0,26.9,23544,11392,15313,15435,11347
10060,44,188.0,93.0,26.3,9881,15438,15239,12708,23766
10061,34,187.0,84.0,24.0,5609,17370,10223,18185,25647
10062,28,173.0,86.0,28.7,11645,12828,31382,15371,5813
10063,51,183.0,88.0,26.3,15232,5959,11270,25993,18593
10064,30,170.0,74.0,25.6,30006,19938,7541,6789,12776
10065,29,180.0,88.0,27.2,5891,29495,13207,18558,9900
10066,26,191.0,99.0,27.1,4903,25791,5915,12584,27859
10068,24,169.0,85.0,29.8,4068,4294,19358,26952,22404
10069,29,175.0,78.0,25.5,23544,13065,10603,13176,16719
