rank,age,height_cm,weight_kg,bmi,total_points,191_rank,192_rank,193_rank,194_rank,195_rank,Australia,Brazil,Canada,Denmark,Iceland,Russian Federation,Switzerland,United Kingdom,United States
10001,36,178.0,83.0,26.2,76555,14443,14821,23679,10964,12648,0,0,0,0,0,0,0,0,0
10002,28,179.0,84.0,26.2,76562,9881,16712,25132,9634,15203,0,0,0,0,0,0,0,0,0
10003,37,168.0,77.0,27.3,76568,36340,11370,14678,3260,10920,0,0,0,0,0,0,0,0,1
10004,26,183.0,91.0,27.2,76570,8828,12089,18389,19076,18188,0,0,0,0,0,0,0,0,1
10005,26,178.0,85.0,26.8,76573,14443,20846,10881,16303,14100,1,0,0,0,0,0,0,0,0
10006,26,183.0,84.0,25.1,76603,9532,10519,28820,11758,15974,0,0,0,0,0,0,0,0,1
10007,37,169.0,81.0,28.4,76610,33428,8309,16983,5879,12011,0,1,0,0,0,0,0,0,0
10008,31,178.0,77.0,24.3,76612,20685,18629,14057,7324,15917,0,0,0,0,0,0,0,0,1
10009,33,188.0,88.0,24.9,76617,15232,13365,16687,19524,11809,0,0,0,0,0,0,0,0,1
10010,32,178.0,75.0,23.7,76631,20070,25198,7756,10708,12899,0,0,0,0,0,0,0,0,1
10011,29,182.0,82.0,24.8,76636,12686,20927,15987,14543,12493,0,0,0,0,0,0,0,0,0
10012,23,175.0,75.0,24.5,76650,8828,38361,14203,3668,11590,1,0,0,0,0,0,0,0,0
10013,43,180.0,85.0,26.2,76657,22015,4013,24978,10673,14978,0,0,0,0,0,0,0,0,0
10014,29,178.0,84.0,26.5,76669,13831,17997,8229,18995,17617,0,0,0,0,0,0,0,0,0
10015,36,174.0,85.0,28.1,76709,12686,12144,25501,11590,14788,0,0,0,0,0,0,0,0,0
10016,31,178.0,84.0,26.5,76735,18902,21060,7571,17855,11347,0,0,0,0,0,0,0,0,1
10017,26,178.0,85.0,26.8,76740,26601,14858,6980,10831,17470,0,0,0,0,0,1,0,0,0
10018,25,175.0,75.0,24.5,76744,30006,13210,4254,7056,22218,0,0,0,0,0,0,0,0,1
10019,34,174.0,82.0,27.1,76756,15232,11980,19125,15779,14640,0,0,0,0,0,0,0,0,0
10020,41,183.0,93.0,27.8,76768,7652,13978,12473,21073,21592,0,0,0,0,0,0,0,0,1
10021,37,175.0,82.0,26.8,76775,25056,11645,19485,15176,5413,0,0,0,0,0,0,0,0,1
10022,35,175.0,87.0,28.4,76779,22015,28061,5091,16357,5255,0,0,0,0,0,0,0,0,1
10023,24,178.0,86.0,27.1,76788,22820,11736,14373,9195,18664,0,0,0,0,0,0,0,0,1
10024,27,186.0,94.0,27.2,76790,3675,7485,46332,9966,9332,0,0,0,0,0,0,0,0,0
10025,30,178.0,80.0,25.2,76794,13218,12324,32350,12618,6284,0,0,0,0,0,0,0,0,0
10026,36,170.0,84.0,29.1,76833,38189,11171,14800,7532,5141,0,0,0,0,0,0,0,0,1
10027,26,178.0,84.0,26.5,76838,25821,13405,11430,13283,12899,0,1,0,0,0,0,0,0,0
10028,30,173.0,86.0,28.7,76845,30006,8201,12816,8983,16839,0,0,0,0,0,0,0,0,1
10029,36,180.0,86.0,26.5,76851,20685,11930,16370,11736,16130,0,0,0,0,0,0,0,0,0
10030,27,183.0,87.0,26.0,76858,15232,28406,6942,10831,15447,0,0,0,0,0,0,0,0,1
10031,31,185.0,91.0,26.6,76859,12109,10174,26647,11210,16719,0,0,0,0,0,0,0,0,1
10032,34,178.0,77.0,24.3,76860,25056,11782,22530,10494,6998,0,0,0,0,0,0,0,0,1
10033,28,178.0,84.0,26.5,76863,50223,11595,4766,3796,6483,0,0,0,0,0,0,0,0,0
10034,35,180.0,86.0,26.5,76864,13831,15809,16557,18116,12551,0,0,0,0,0,0,0,0,0
10035,38,180.0,93.0,28.7,76872,12686,6787,30075,18590,8734,0,0,0,0,0,0,0,0,0
10036,26,170.0,78.0,27.0,76881,35431,14077,5524,10040,11809,0,0,0,0,0,0,0,0,1
10037,26,177.0,71.0,22.7,76887,29001,12778,15354,7846,11908,0,0,0,0,0,0,0,0,0
10038,27,180.0,78.0,24.1,76890,17433,9975,19821,11805,17856,0,0,0,0,0,0,0,0,0
10039,30,175.0,85.0,27.8,76904,30006,13065,18099,6402,9332,0,0,0,0,0,0,0,0,1
10040,17,178.0,84.0,26.5,76917,37269,16381,19195,2799,1273,0,0,0,0,0,0,0,0,0
